                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.8962,                 2.0185,                  1.777,                0.64543,                0.54575,                0.54652,                0.28457,                 1.9059,                 1.2281,                 1.4725,                0.00967,                0.00967,                0.00967
                    102,                  1.931,                 2.0432,                 1.8023,                 0.7796,                0.50623,                0.52635,                0.21656,                 2.0644,                 1.2992,                 1.5876,              0.0096667,              0.0096667,              0.0096667
                    103,                 1.9062,                 1.9977,                 1.7849,                0.56919,                0.63602,                0.59776,                0.25999,                 1.9776,                 1.2083,                 1.5496,              0.0096634,              0.0096634,              0.0096634
                    104,                 1.9365,                 2.0318,                 1.8013,                 0.8179,                0.50298,                0.54585,                 0.2703,                 2.0664,                 1.2494,                 1.5959,              0.0096601,              0.0096601,              0.0096601
                    105,                 1.8859,                 1.9767,                 1.7739,                0.80138,                0.51536,                0.59096,                0.30765,                 1.8897,                 1.1847,                 1.4558,              0.0096568,              0.0096568,              0.0096568
                    106,                 1.8987,                 1.9813,                 1.7512,                0.83449,                0.51415,                0.57069,                0.29326,                 1.8453,                 1.2181,                 1.4494,              0.0096535,              0.0096535,              0.0096535
                    107,                 1.8885,                 1.9964,                 1.7583,                0.82999,                0.51693,                0.56796,                0.29169,                 1.9408,                 1.2092,                 1.5247,              0.0096502,              0.0096502,              0.0096502
                    108,                 1.9137,                 1.9924,                 1.7759,                0.58986,                0.61416,                0.58904,                0.26315,                  1.985,                 1.2868,                 1.5458,              0.0096469,              0.0096469,              0.0096469
                    109,                 1.9084,                 1.9418,                 1.7733,                0.84504,                0.52629,                0.58332,                0.26119,                 2.0509,                 1.1871,                 1.5724,              0.0096436,              0.0096436,              0.0096436
                    110,                 1.9053,                 1.9814,                 1.7858,                0.80019,                0.52579,                0.55415,                0.19841,                 2.1789,                 1.2737,                 1.7278,              0.0096403,              0.0096403,              0.0096403
                    111,                 1.9028,                 1.9859,                  1.789,                0.81104,                0.50626,                0.59263,                0.28772,                 2.0631,                 1.2092,                 1.5822,               0.009637,               0.009637,               0.009637
                    112,                 1.8982,                 1.9908,                 1.7795,                 0.8372,                0.52448,                0.56031,                0.26591,                 1.9289,                 1.2047,                 1.4973,              0.0096337,              0.0096337,              0.0096337
                    113,                 1.8893,                  1.965,                 1.7852,                0.69736,                0.59777,                0.60211,                0.30326,                  1.988,                 1.2229,                 1.5396,              0.0096304,              0.0096304,              0.0096304
                    114,                 1.9062,                 1.9507,                 1.7803,                0.81448,                0.51335,                0.54391,                0.24761,                 1.9281,                 1.2458,                 1.5081,              0.0096271,              0.0096271,              0.0096271
                    115,                 1.8902,                 1.9623,                 1.7699,                0.73186,                0.62129,                0.62438,                0.31315,                 1.8408,                 1.1405,                 1.4474,              0.0096238,              0.0096238,              0.0096238
                    116,                  1.851,                 1.8896,                 1.7216,                0.68508,                0.62865,                0.60262,                0.31525,                 1.7969,                 1.1914,                 1.4242,              0.0096205,              0.0096205,              0.0096205
                    117,                 1.8855,                 1.9632,                 1.7595,                0.73659,                0.57192,                0.60178,                0.27408,                 2.0813,                 1.2079,                 1.5957,              0.0096172,              0.0096172,              0.0096172
                    118,                 1.8628,                 1.9343,                 1.7394,                0.82559,                0.51791,                0.55301,                0.27488,                 1.9791,                 1.1546,                 1.5449,              0.0096139,              0.0096139,              0.0096139
                    119,                  1.888,                 1.9043,                 1.7532,                0.83257,                0.52464,                0.58095,                0.31665,                 1.8376,                 1.1537,                 1.4236,              0.0096106,              0.0096106,              0.0096106
                    120,                 1.8734,                  1.888,                 1.7365,                0.83921,                0.53448,                 0.5708,                0.23965,                 2.0458,                 1.1762,                 1.5744,              0.0096073,              0.0096073,              0.0096073
                    121,                 1.8611,                 1.9035,                 1.7388,                0.85072,                0.53985,                0.58635,                0.28266,                 1.8851,                 1.1607,                 1.4687,               0.009604,               0.009604,               0.009604
                    122,                 1.8845,                  1.961,                 1.7533,                0.79242,                0.60022,                0.60902,                0.30845,                 2.0337,                 1.1898,                 1.5418,              0.0096007,              0.0096007,              0.0096007
                    123,                 1.8796,                 1.9053,                 1.7541,                0.81768,                 0.6075,                0.62734,                0.31706,                 1.9119,                 1.1465,                 1.4888,              0.0095974,              0.0095974,              0.0095974
                    124,                 1.8501,                 1.8819,                  1.729,                0.69447,                0.60431,                0.58362,                0.28163,                 1.9699,                 1.1733,                 1.5341,              0.0095941,              0.0095941,              0.0095941
                    125,                  1.843,                 1.8662,                 1.7159,                0.73317,                0.61879,                0.59779,                  0.293,                 1.9458,                 1.1881,                 1.4975,              0.0095908,              0.0095908,              0.0095908
                    126,                 1.8652,                  1.924,                 1.7331,                0.82523,                0.51885,                0.56348,                0.28601,                 1.8284,                 1.1882,                 1.4202,              0.0095875,              0.0095875,              0.0095875
                    127,                 1.8521,                 1.8788,                 1.7222,                0.67056,                0.64702,                0.61642,                0.31915,                 1.8192,                 1.1549,                 1.4008,              0.0095842,              0.0095842,              0.0095842
                    128,                 1.8981,                  1.927,                 1.7435,                  0.822,                0.57971,                0.61979,                0.30636,                 1.8807,                 1.1382,                  1.459,              0.0095809,              0.0095809,              0.0095809
                    129,                 1.8609,                 1.8768,                 1.7259,                0.62247,                0.62907,                0.56081,                0.24863,                 1.9871,                 1.2765,                 1.5396,              0.0095776,              0.0095776,              0.0095776
                    130,                 1.8547,                 1.8768,                 1.7214,                0.82765,                0.52829,                0.55453,                0.22921,                 2.0779,                 1.2642,                 1.5844,              0.0095743,              0.0095743,              0.0095743
                    131,                 1.8649,                 1.9048,                 1.7285,                0.82462,                0.54817,                0.62557,                0.31214,                 1.8928,                 1.1268,                 1.4565,               0.009571,               0.009571,               0.009571
                    132,                 1.8596,                 1.8911,                 1.7153,                0.82284,                0.52263,                0.61707,                0.32308,                 1.8465,                 1.1462,                 1.4285,              0.0095677,              0.0095677,              0.0095677
                    133,                  1.862,                 1.8789,                 1.7112,                0.70492,                 0.6544,                0.62639,                0.31188,                 1.9186,                 1.1206,                 1.4812,              0.0095644,              0.0095644,              0.0095644
                    134,                 1.8688,                 1.8442,                 1.7275,                 0.8242,                0.50237,                0.58777,                0.28813,                 2.0897,                 1.2535,                 1.5774,              0.0095611,              0.0095611,              0.0095611
                    135,                 1.8469,                 1.8458,                  1.707,                0.84781,                0.51689,                0.55641,                0.29469,                 1.8539,                 1.1593,                 1.4257,              0.0095578,              0.0095578,              0.0095578
                    136,                 1.8424,                  1.873,                 1.7156,                0.82156,                0.53217,                0.57199,                0.24723,                 2.0254,                 1.1786,                 1.5892,              0.0095545,              0.0095545,              0.0095545
                    137,                 1.8284,                 1.8623,                 1.7058,                0.71481,                0.59982,                0.62704,                0.32942,                 1.8641,                 1.0909,                 1.4327,              0.0095512,              0.0095512,              0.0095512
                    138,                 1.8547,                 1.8825,                 1.7155,                0.55888,                0.65905,                0.63273,                0.34217,                 1.8615,                 1.0854,                 1.4453,              0.0095479,              0.0095479,              0.0095479
                    139,                 1.8608,                 1.8469,                 1.6993,                0.85559,                0.55767,                0.64036,                0.30068,                 1.9267,                  1.118,                 1.4828,              0.0095446,              0.0095446,              0.0095446
                    140,                 1.8538,                  1.866,                 1.7139,                0.67995,                0.58109,                0.61963,                0.35626,                 1.7767,                 1.1533,                  1.404,              0.0095413,              0.0095413,              0.0095413
